match_date,home_team_name,away_team_name,home_team_score,away_team_score,year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,home_winner,draw,away_winner,rank_diff,team_score_diff,score_diff,best_rank_winner
1930-07-13,France,Mexico,4,1,1930,35.0,1566.0,41.0,1497.0,0,0,1,0,0,-6.0,3,69.0,1
1930-07-13,United States,Belgium,3,0,1930,14.0,1762.0,31.0,1593.0,0,0,1,0,0,-17.0,3,169.0,1
1930-07-14,Yugoslavia,Brazil,2,1,1930,25.0,1658.0,9.0,1890.0,0,0,1,0,0,16.0,1,-232.0,0
1930-07-14,Romania,Peru,3,1,1930,37.0,1544.0,42.0,1496.0,0,0,1,0,0,-5.0,2,48.0,1
1930-07-15,Argentina,France,1,0,1930,1.0,2062.0,35.0,1566.0,0,0,1,0,0,-34.0,1,496.0,1
1930-07-16,Chile,Mexico,3,0,1930,26.0,1647.0,41.0,1497.0,0,0,1,0,0,-15.0,3,150.0,1
1930-07-17,Yugoslavia,Bolivia,4,0,1930,25.0,1658.0,63.0,1244.0,0,0,1,0,0,-38.0,4,414.0,1
1930-07-17,United States,Paraguay,3,0,1930,14.0,1762.0,16.0,1742.0,0,0,1,0,0,-2.0,3,20.0,1
1930-07-18,Uruguay,Peru,1,0,1930,2.0,2037.0,42.0,1496.0,0,0,1,0,0,-40.0,1,541.0,1
1930-07-19,Chile,France,1,0,1930,26.0,1647.0,35.0,1566.0,0,0,1,0,0,-9.0,1,81.0,1
1930-07-19,Argentina,Mexico,6,3,1930,1.0,2062.0,41.0,1497.0,0,0,1,0,0,-40.0,3,565.0,1
1930-07-20,Brazil,Bolivia,4,0,1930,9.0,1890.0,63.0,1244.0,0,0,1,0,0,-54.0,4,646.0,1
1930-07-20,Paraguay,Belgium,1,0,1930,16.0,1742.0,31.0,1593.0,0,0,1,0,0,-15.0,1,149.0,1
1930-07-21,Uruguay,Romania,4,0,1930,2.0,2037.0,37.0,1544.0,0,0,1,0,0,-35.0,4,493.0,1
1930-07-22,Argentina,Chile,3,1,1930,1.0,2062.0,26.0,1647.0,0,0,1,0,0,-25.0,2,415.0,1
1930-07-26,Argentina,United States,6,1,1930,1.0,2062.0,14.0,1762.0,0,0,1,0,0,-13.0,5,300.0,1
1930-07-27,Uruguay,Yugoslavia,6,1,1930,2.0,2037.0,25.0,1658.0,0,0,1,0,0,-23.0,5,379.0,1
1930-07-30,Uruguay,Argentina,4,2,1930,2.0,2037.0,1.0,2062.0,0,0,1,0,0,1.0,2,-25.0,0
1934-05-27,Austria,France,3,2,1934,6.0,1956.0,29.0,1624.0,0,1,1,0,0,-23.0,1,332.0,1
1934-05-27,Czechoslovakia,Romania,2,1,1934,7.0,1906.0,28.0,1625.0,0,1,1,0,0,-21.0,1,281.0,1
1934-05-27,Germany,Belgium,5,2,1934,9.0,1878.0,40.0,1529.0,0,1,1,0,0,-31.0,3,349.0,1
1934-05-27,Hungary,Egypt,4,2,1934,8.0,1881.0,22.0,1684.0,0,0,1,0,0,-14.0,2,197.0,1
1934-05-27,Italy,United States,7,1,1934,1.0,2043.0,13.0,1759.0,0,1,1,0,0,-12.0,6,284.0,1
1934-05-27,Spain,Brazil,3,1,1934,4.0,1968.0,10.0,1863.0,0,1,1,0,0,-6.0,2,105.0,1
1934-05-27,Sweden,Argentina,3,2,1934,14.0,1756.0,2.0,2021.0,0,1,1,0,0,12.0,1,-265.0,0
