year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,rank_diff,score_diff,participation_diff,target
1930,35.0,1566.0,41.0,1497.0,0,0,-6.0,69.0,0,1
1930,14.0,1762.0,31.0,1593.0,0,0,-17.0,169.0,0,1
1930,25.0,1658.0,9.0,1890.0,0,0,16.0,-232.0,0,1
1930,37.0,1544.0,42.0,1496.0,0,0,-5.0,48.0,0,1
1930,1.0,2062.0,35.0,1566.0,0,0,-34.0,496.0,0,1
1930,26.0,1647.0,41.0,1497.0,0,0,-15.0,150.0,0,1
1930,25.0,1658.0,63.0,1244.0,0,0,-38.0,414.0,0,1
1930,14.0,1762.0,16.0,1742.0,0,0,-2.0,20.0,0,1
1930,2.0,2037.0,42.0,1496.0,0,0,-40.0,541.0,0,1
1930,26.0,1647.0,35.0,1566.0,0,0,-9.0,81.0,0,1
1930,1.0,2062.0,41.0,1497.0,0,0,-40.0,565.0,0,1
1930,9.0,1890.0,63.0,1244.0,0,0,-54.0,646.0,0,1
1930,16.0,1742.0,31.0,1593.0,0,0,-15.0,149.0,0,1
1930,2.0,2037.0,37.0,1544.0,0,0,-35.0,493.0,0,1
1930,1.0,2062.0,26.0,1647.0,0,0,-25.0,415.0,0,1
1930,1.0,2062.0,14.0,1762.0,0,0,-13.0,300.0,0,1
1930,2.0,2037.0,25.0,1658.0,0,0,-23.0,379.0,0,1
1930,2.0,2037.0,1.0,2062.0,0,0,1.0,-25.0,0,1
1934,6.0,1956.0,29.0,1624.0,0,1,-23.0,332.0,-1,1
1934,7.0,1906.0,28.0,1625.0,0,1,-21.0,281.0,-1,1
1934,9.0,1878.0,40.0,1529.0,0,1,-31.0,349.0,-1,1
1934,8.0,1881.0,22.0,1684.0,0,0,-14.0,197.0,0,1
1934,1.0,2043.0,13.0,1759.0,0,1,-12.0,284.0,-1,1
1934,4.0,1968.0,10.0,1863.0,0,1,-6.0,105.0,-1,1
1934,14.0,1756.0,2.0,2021.0,0,1,12.0,-265.0,-1,1
1934,30.0,1623.0,20.0,1686.0,0,0,10.0,-63.0,0,1
1934,6.0,1956.0,8.0,1881.0,0,0,-2.0,75.0,0,1
1934,7.0,1906.0,30.0,1623.0,0,0,-23.0,283.0,0,1
1934,9.0,1878.0,14.0,1756.0,0,0,-5.0,122.0,0,1
1934,1.0,2043.0,4.0,1968.0,0,0,-3.0,75.0,0,0
1934,1.0,2043.0,4.0,1968.0,0,0,-3.0,75.0,0,1
1934,7.0,1906.0,9.0,1878.0,0,0,-2.0,28.0,0,1
1934,1.0,2043.0,6.0,1956.0,0,0,-5.0,87.0,0,1
1934,9.0,1878.0,6.0,1956.0,0,0,3.0,-78.0,0,1
1934,1.0,2043.0,7.0,1906.0,0,0,-6.0,137.0,0,1
1938,18.0,1709.0,14.0,1772.0,1,1,4.0,-63.0,0,0
1938,43.0,1517.0,44.0,1516.0,0,2,-1.0,1.0,-2,0
1938,29.0,1639.0,40.0,1541.0,2,2,-11.0,98.0,0,1
1938,1.0,2124.0,16.0,1737.0,1,0,-15.0,387.0,1,1
1938,7.0,1936.0,37.0,1593.0,2,0,-30.0,343.0,2,1
1938,10.0,1860.0,22.0,1677.0,1,1,-12.0,183.0,0,1
1938,43.0,1517.0,44.0,1516.0,0,2,-1.0,1.0,-2,1
1938,18.0,1709.0,14.0,1772.0,1,1,4.0,-63.0,0,1
1938,7.0,1936.0,10.0,1860.0,2,1,-3.0,76.0,1,0
1938,5.0,1940.0,18.0,1709.0,1,1,-13.0,231.0,0,1
1938,1.0,2124.0,29.0,1639.0,1,2,-28.0,485.0,-1,1
1938,25.0,1654.0,43.0,1517.0,1,0,-18.0,137.0,1,1
1938,7.0,1936.0,10.0,1860.0,2,1,-3.0,76.0,1,1
1938,5.0,1940.0,25.0,1654.0,1,1,-20.0,286.0,0,1
1938,1.0,2124.0,7.0,1936.0,1,2,-6.0,188.0,-1,1
1938,7.0,1936.0,25.0,1654.0,2,1,-18.0,282.0,1,1
1938,1.0,2124.0,5.0,1940.0,1,1,-4.0,184.0,0,1
1950,2.0,2014.0,22.0,1717.0,3,1,-20.0,297.0,2,1
1950,10.0,1881.0,16.0,1755.0,1,2,-6.0,126.0,-1,1
1950,3.0,1991.0,29.0,1638.0,0,1,-26.0,353.0,-1,1
1950,12.0,1868.0,44.0,1556.0,1,2,-32.0,312.0,-1,1
1950,7.0,1935.0,4.0,1976.0,2,2,3.0,-41.0,0,1
1950,2.0,2014.0,16.0,1755.0,3,2,-14.0,259.0,1,0
1950,10.0,1881.0,22.0,1717.0,1,1,-12.0,164.0,0,1
1950,12.0,1868.0,29.0,1638.0,1,1,-17.0,230.0,0,1
1950,44.0,1556.0,3.0,1991.0,2,0,41.0,-435.0,2,1
1950,7.0,1935.0,13.0,1848.0,2,1,-6.0,87.0,1,0
1950,2.0,2014.0,10.0,1881.0,3,1,-8.0,133.0,2,1
1950,29.0,1638.0,44.0,1556.0,1,2,-15.0,82.0,-1,1
1950,12.0,1868.0,3.0,1991.0,1,0,9.0,-123.0,1,1
1950,4.0,1976.0,13.0,1848.0,2,1,-9.0,128.0,1,1
1950,11.0,1874.0,64.0,1424.0,1,1,-53.0,450.0,0,1
1950,16.0,1755.0,22.0,1717.0,2,1,-6.0,38.0,1,1
1950,2.0,2014.0,7.0,1935.0,3,2,-5.0,79.0,1,1
1950,11.0,1874.0,12.0,1868.0,1,1,-1.0,6.0,0,0
1950,2.0,2014.0,12.0,1868.0,3,1,-10.0,146.0,2,1
1950,11.0,1874.0,7.0,1935.0,1,2,4.0,-61.0,-1,1
1950,7.0,1935.0,12.0,1868.0,2,1,-5.0,67.0,1,1
1950,11.0,1874.0,2.0,2014.0,1,3,9.0,-140.0,-2,1
1954,4.0,2010.0,27.0,1655.0,4,2,-23.0,355.0,2,1
1954,8.0,1937.0,13.0,1802.0,2,3,-5.0,135.0,-1,1
1954,6.0,1946.0,13.0,1802.0,1,0,-7.0,144.0,1,1
1954,7.0,1940.0,24.0,1684.0,2,2,-17.0,256.0,0,1
1954,20.0,1722.0,10.0,1848.0,3,3,10.0,-126.0,0,1
1954,1.0,2192.0,45.0,1587.0,2,0,-44.0,605.0,2,1
1954,3.0,2037.0,30.0,1653.0,0,0,-27.0,384.0,0,1
1954,5.0,1997.0,15.0,1780.0,1,3,-10.0,217.0,-2,0
1954,7.0,1940.0,13.0,1802.0,2,0,-6.0,138.0,2,1
1954,4.0,2010.0,8.0,1937.0,4,2,-4.0,73.0,2,0
1954,6.0,1946.0,24.0,1684.0,1,2,-18.0,262.0,-1,1
1954,13.0,1802.0,27.0,1655.0,3,2,-14.0,147.0,1,1
1954,1.0,2192.0,3.0,2037.0,2,0,-2.0,155.0,2,1
1954,30.0,1653.0,45.0,1587.0,0,0,-15.0,66.0,0,1
1954,10.0,1848.0,15.0,1780.0,3,3,-5.0,68.0,0,1
1954,5.0,1997.0,20.0,1722.0,1,3,-15.0,275.0,-2,1
1954,3.0,2037.0,30.0,1653.0,0,0,-27.0,384.0,0,1
1954,20.0,1722.0,10.0,1848.0,3,3,10.0,-126.0,0,1
1954,6.0,1946.0,20.0,1722.0,1,3,-14.0,224.0,-2,1
1954,7.0,1940.0,5.0,1997.0,2,1,2.0,-57.0,1,1
1954,1.0,2192.0,4.0,2010.0,2,4,-3.0,182.0,-2,1
1954,3.0,2037.0,8.0,1937.0,0,2,-5.0,100.0,-2,1
1954,1.0,2192.0,7.0,1940.0,2,2,-6.0,252.0,0,1
1954,3.0,2037.0,6.0,1946.0,0,1,-3.0,91.0,-1,1
1954,6.0,1946.0,7.0,1940.0,1,2,-1.0,6.0,-1,1
1954,3.0,2037.0,1.0,2192.0,0,2,2.0,-155.0,-2,1
1958,8.0,1901.0,28.0,1719.0,3,3,-20.0,182.0,0,1
1958,6.0,1920.0,11.0,1866.0,2,1,-5.0,54.0,1,-1
1958,20.0,1773.0,12.0,1860.0,0,3,8.0,-87.0,-3,1
1958,4.0,1936.0,21.0,1762.0,4,2,-17.0,174.0,2,1
1958,9.0,1898.0,16.0,1805.0,3,1,-7.0,93.0,2,0
1958,2.0,1968.0,22.0,1759.0,3,0,-20.0,209.0,3,0
1958,1.0,2140.0,14.0,1819.0,5,2,-13.0,321.0,3,1
1958,5.0,1923.0,3.0,1946.0,0,2,2.0,-23.0,-2,0
1958,6.0,1920.0,20.0,1773.0,2,0,-14.0,147.0,2,1
1958,11.0,1866.0,12.0,1860.0,1,3,-1.0,6.0,-2,0
1958,21.0,1762.0,16.0,1805.0,2,1,5.0,-43.0,1,1
1958,9.0,1898.0,4.0,1936.0,3,4,5.0,-38.0,-1,1
1958,28.0,1719.0,22.0,1759.0,3,0,6.0,-40.0,3,0
1958,1.0,2140.0,3.0,1946.0,5,2,-2.0,194.0,3,0
1958,5.0,1923.0,14.0,1819.0,0,2,-9.0,104.0,-2,1
1958,8.0,1901.0,2.0,1968.0,3,3,6.0,-67.0,0,1
